C:\Users\Eon\miniforge3\envs\lmy12\python.exe C:\Users\Eon\PycharmProjects\DCDDPM\train.py
CUDA 可用，有 1 个 GPU 可用
device: cuda:0
Epoch [372/1000], Loss: 26.4457, Used: 4.8455s
Epoch [373/1000], Loss: 21.6810, Used: 4.8435s
Epoch [374/1000], Loss: 20.5869, Used: 4.8437s
Epoch [375/1000], Loss: 22.5390, Used: 4.8497s
Epoch [376/1000], Loss: 20.8590, Used: 4.8432s
Epoch [377/1000], Loss: 19.4420, Used: 4.8497s
Epoch [378/1000], Loss: 18.4855, Used: 4.8500s
Epoch [379/1000], Loss: 21.1828, Used: 4.8488s
Epoch [380/1000], Loss: 19.3476, Used: 4.8515s
Epoch [381/1000], Loss: 23.1362, Used: 4.8488s
Epoch [382/1000], Loss: 22.9274, Used: 4.8434s
Epoch [383/1000], Loss: 21.8084, Used: 4.8416s
Epoch [384/1000], Loss: 17.7153, Used: 4.8428s
Epoch [385/1000], Loss: 17.5943, Used: 4.8429s
Epoch [386/1000], Loss: 19.9470, Used: 4.8434s
Epoch [387/1000], Loss: 19.9209, Used: 4.8430s
Epoch [388/1000], Loss: 17.9395, Used: 4.8431s
Epoch [389/1000], Loss: 18.5467, Used: 4.8438s
Epoch [390/1000], Loss: 21.2455, Used: 4.8443s
Epoch [391/1000], Loss: 16.6833, Used: 4.8426s
Epoch [392/1000], Loss: 15.6501, Used: 4.8494s
Epoch [393/1000], Loss: 18.3270, Used: 4.8468s
Epoch [394/1000], Loss: 15.3067, Used: 4.8444s
Epoch [395/1000], Loss: 14.2171, Used: 4.8461s
Epoch [396/1000], Loss: 20.9132, Used: 4.8479s
Epoch [397/1000], Loss: 14.8369, Used: 4.8482s
Epoch [398/1000], Loss: 14.5067, Used: 4.8505s
Epoch [399/1000], Loss: 15.5213, Used: 4.8431s
Epoch [400/1000], Loss: 13.3866, Used: 4.8413s
Epoch [401/1000], Loss: 17.2940, Used: 4.8446s
Epoch [402/1000], Loss: 13.9128, Used: 4.8432s
Epoch [403/1000], Loss: 18.0553, Used: 4.8449s
Epoch [404/1000], Loss: 16.7507, Used: 4.8509s
Epoch [405/1000], Loss: 15.2451, Used: 4.8496s
Epoch [406/1000], Loss: 14.0118, Used: 4.8482s
Epoch [407/1000], Loss: 16.3109, Used: 4.8431s
Epoch [408/1000], Loss: 12.9114, Used: 4.8421s
Epoch [409/1000], Loss: 13.6994, Used: 4.8437s
Epoch [410/1000], Loss: 13.8242, Used: 4.8437s
Epoch [411/1000], Loss: 15.1197, Used: 4.8431s
Epoch [412/1000], Loss: 14.7022, Used: 4.8435s
Epoch [413/1000], Loss: 13.6233, Used: 4.8415s
Epoch [414/1000], Loss: 16.1118, Used: 4.8434s
Epoch [415/1000], Loss: 15.5966, Used: 4.8444s
Epoch [416/1000], Loss: 14.1945, Used: 4.8446s
Epoch [417/1000], Loss: 13.8604, Used: 4.8490s
Epoch [418/1000], Loss: 16.5664, Used: 4.8438s
Epoch [419/1000], Loss: 12.6911, Used: 4.8434s
Epoch [420/1000], Loss: 14.3292, Used: 4.8435s
Epoch [421/1000], Loss: 12.9721, Used: 4.8435s
Epoch [422/1000], Loss: 14.0982, Used: 4.8426s
Epoch [423/1000], Loss: 13.9651, Used: 4.8453s
Epoch [424/1000], Loss: 15.0613, Used: 4.8443s
Epoch [425/1000], Loss: 13.4950, Used: 4.8476s
Epoch [426/1000], Loss: 15.7119, Used: 4.8458s
Epoch [427/1000], Loss: 14.1778, Used: 4.8452s
